mnth,hr,holiday,weekday,workingday,temp,atemp,hum,windspeed,weekend,sensation,peak_hr,season_1,season_2,season_3,season_4,weathersit_1,weathersit_2,weathersit_3,weathersit_4
5,3,0,2,1,0.54,0.5152,0.83,0.2836,0,1.3452,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,6,0,1,1,0.56,0.5303,0.73,0.2985,0,1.2603,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,6,0,6,0,0.18,0.1818,0.55,0.194,1,0.7318,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,23,0,3,1,0.74,0.6515,0.37,0.0896,0,1.0215,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,1,0,3,1,0.58,0.5455,0.88,0.1343,0,1.4255,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7,16,0,1,1,0.7,0.6667,0.84,0.2239,0,1.5067,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,19,0,5,1,0.16,0.197,0.59,0.0896,0,0.7869999999999999,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,9,0,5,1,0.62,0.6061,0.65,0.1642,0,1.2561,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,1,0,1,1,0.46,0.4545,0.63,0.2985,0,1.0845,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,8,0,3,1,0.3,0.3182,0.75,0.0896,0,1.0682,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,13,0,4,1,0.48,0.4697,0.33,0.3284,0,0.7997000000000001,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3,9,0,5,1,0.34,0.3333,0.57,0.1642,0,0.9033,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
12,22,0,0,0,0.44,0.4394,0.77,0.194,1,1.2094,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,3,0,5,1,0.28,0.2879,0.93,0.1045,0,1.2179,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,23,0,5,1,0.44,0.4394,0.82,0.1343,0,1.2593999999999999,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,16,0,6,0,0.4,0.4091,0.4,0.2239,1,0.8091,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,9,0,0,0,0.28,0.303,0.87,0.0896,1,1.173,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,19,0,1,1,0.7,0.6364,0.24,0.4627,0,0.8764,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,5,0,0,0,0.38,0.3939,0.66,0.0896,1,1.0539,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10,0,0,2,1,0.44,0.4394,0.77,0.1343,0,1.2094,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,7,0,4,1,0.34,0.3182,0.87,0.2836,0,1.1882,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,8,0,1,1,0.6,0.5758,0.78,0.0896,0,1.3558,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,2,0,3,1,0.62,0.5909,0.78,0.0,0,1.3709,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,16,0,2,1,0.86,0.7576,0.36,0.2836,0,1.1176,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,20,0,0,0,0.42,0.4242,0.41,0.2239,1,0.8342,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9,14,1,1,0,0.74,0.697,0.7,0.1642,0,1.3969999999999998,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,16,0,2,1,0.66,0.6212,0.69,0.194,0,1.3112,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5,6,0,0,0,0.62,0.5606,0.88,0.194,1,1.4405999999999999,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3,5,0,1,1,0.32,0.303,0.81,0.2985,0,1.113,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6,5,0,2,1,0.6,0.5758,0.78,0.194,0,1.3558,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
10,0,0,5,1,0.44,0.4394,0.88,0.0,0,1.3194,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7,18,0,6,0,0.82,0.7424,0.43,0.2836,1,1.1723999999999999,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
